agent_a,agent_b,tier_a,tier_b,seed,seat_of_a,bank_a,bank_b,margin_a,winner
melon_mateo,closer_cleo,4,9,7002,0,13461,140795,-127334,closer_cleo
melon_mateo,closer_cleo,4,9,7002,1,13461,134036,-120575,closer_cleo
rancher_rita,broker_bea,5,6,7000,0,9002,114008,-105006,broker_bea
rancher_rita,broker_bea,5,6,7000,1,9002,113955,-104953,broker_bea
rancher_rita,broker_bea,5,6,7001,0,8651,125935,-117284,broker_bea
rancher_rita,broker_bea,5,6,7001,1,8663,125796,-117133,broker_bea
rancher_rita,broker_bea,5,6,7002,0,26780,151092,-124312,broker_bea
rancher_rita,broker_bea,5,6,7002,1,26812,150916,-124104,broker_bea
rancher_rita,slotter_silas,5,8,7000,0,8753,113101,-104348,slotter_silas
rancher_rita,slotter_silas,5,8,7000,1,8751,113050,-104299,slotter_silas
rancher_rita,slotter_silas,5,8,7001,0,8504,125377,-116873,slotter_silas
rancher_rita,slotter_silas,5,8,7001,1,8518,125240,-116722,slotter_silas
rancher_rita,slotter_silas,5,8,7002,0,27702,136169,-108467,slotter_silas
rancher_rita,slotter_silas,5,8,7002,1,27348,135968,-108620,slotter_silas
rancher_rita,ledger_lena,5,7,7000,0,8987,114687,-105700,ledger_lena
rancher_rita,ledger_lena,5,7,7000,1,8987,114636,-105649,ledger_lena
rancher_rita,ledger_lena,5,7,7001,0,8777,126234,-117457,ledger_lena
rancher_rita,ledger_lena,5,7,7001,1,8783,126100,-117317,ledger_lena
rancher_rita,ledger_lena,5,7,7002,0,27815,136882,-109067,ledger_lena
rancher_rita,ledger_lena,5,7,7002,1,27461,136681,-109220,ledger_lena
rancher_rita,closer_cleo,5,9,7000,0,10210,123815,-113605,closer_cleo
rancher_rita,closer_cleo,5,9,7000,1,10208,123715,-113507,closer_cleo
rancher_rita,closer_cleo,5,9,7001,0,14617,115043,-100426,closer_cleo
rancher_rita,closer_cleo,5,9,7001,1,13675,115074,-101399,closer_cleo
rancher_rita,closer_cleo,5,9,7002,0,26372,142919,-116547,closer_cleo
rancher_rita,closer_cleo,5,9,7002,1,26372,142622,-116250,closer_cleo
broker_bea,slotter_silas,6,8,7000,0,129425,129175,250,broker_bea
broker_bea,slotter_silas,6,8,7000,1,128733,129869,-1136,slotter_silas
broker_bea,slotter_silas,6,8,7001,0,88521,90490,-1969,slotter_silas
broker_bea,slotter_silas,6,8,7001,1,88575,90436,-1861,slotter_silas
broker_bea,slotter_silas,6,8,7002,0,64970,67908,-2938,slotter_silas
broker_bea,slotter_silas,6,8,7002,1,65285,67636,-2351,slotter_silas
broker_bea,ledger_lena,6,7,7000,0,129412,130054,-642,ledger_lena
broker_bea,ledger_lena,6,7,7000,1,128674,131088,-2414,ledger_lena
broker_bea,ledger_lena,6,7,7001,0,88439,92027,-3588,ledger_lena
broker_bea,ledger_lena,6,7,7001,1,88493,91973,-3480,ledger_lena
broker_bea,ledger_lena,6,7,7002,0,65027,67464,-2437,ledger_lena
broker_bea,ledger_lena,6,7,7002,1,65395,67101,-1706,ledger_lena
broker_bea,closer_cleo,6,9,7000,0,130043,131215,-1172,closer_cleo
broker_bea,closer_cleo,6,9,7000,1,129678,132834,-3156,closer_cleo
broker_bea,closer_cleo,6,9,7001,0,134729,135748,-1019,closer_cleo
broker_bea,closer_cleo,6,9,7001,1,134867,135610,-743,closer_cleo
broker_bea,closer_cleo,6,9,7002,0,81715,87264,-5549,closer_cleo
broker_bea,closer_cleo,6,9,7002,1,80635,83109,-2474,closer_cleo
slotter_silas,ledger_lena,8,7,7000,0,129400,129198,202,slotter_silas
slotter_silas,ledger_lena,8,7,7000,1,128682,130202,-1520,ledger_lena
slotter_silas,ledger_lena,8,7,7001,0,89858,89950,-92,ledger_lena
slotter_silas,ledger_lena,8,7,7001,1,89912,89896,16,slotter_silas
slotter_silas,ledger_lena,8,7,7002,0,66618,65789,829,slotter_silas
slotter_silas,ledger_lena,8,7,7002,1,66970,65418,1552,slotter_silas
slotter_silas,closer_cleo,8,9,7000,0,129185,131293,-2108,closer_cleo
slotter_silas,closer_cleo,8,9,7000,1,128860,132909,-4049,closer_cleo
slotter_silas,closer_cleo,8,9,7001,0,134101,135544,-1443,closer_cleo
slotter_silas,closer_cleo,8,9,7001,1,134239,135406,-1167,closer_cleo
slotter_silas,closer_cleo,8,9,7002,0,81105,86225,-5120,closer_cleo
slotter_silas,closer_cleo,8,9,7002,1,80092,81908,-1816,closer_cleo
ledger_lena,closer_cleo,7,9,7000,0,130783,130887,-104,closer_cleo
ledger_lena,closer_cleo,7,9,7000,1,130413,132496,-2083,closer_cleo
ledger_lena,closer_cleo,7,9,7001,0,135479,135559,-80,closer_cleo
ledger_lena,closer_cleo,7,9,7001,1,135616,135422,194,ledger_lena
ledger_lena,closer_cleo,7,9,7002,0,80850,86800,-5950,closer_cleo
ledger_lena,closer_cleo,7,9,7002,1,79803,82458,-2655,closer_cleo
